well_id,sample_id,time_h,metabolite_type,sample_type,standard_concentration_mmol_l,sample_dilution,well_volume_mul
Sample X1,9,5.1022,acetate,sample,NA,0.04,100
Sample X2,10,5.6311,acetate,sample,NA,0.04,100
Sample X3,11,6.2428,acetate,sample,NA,0.04,100
Sample X4,12,6.8003,acetate,sample,NA,0.04,100
Sample X5,13,7.3806,acetate,sample,NA,0.04,100
Sample X6,14,7.9211,acetate,sample,NA,0.04,100
Sample X7,15,8.4494,acetate,sample,NA,0.04,100
Sample X8,G1,7.0283,acetate,sample,NA,0.04,100
Sample X9,G2,7.7139,acetate,sample,NA,0.04,100
Sample X10,G2,7.7139,acetate,sample,NA,0.025,100
Sample X11,G2,7.7139,acetate,sample,NA,0.02,100
Standard S1,S1,NA,acetate,standard,0,NA,100
Standard S2,S2,NA,acetate,standard,0.2,NA,100
Standard S3,S3,NA,acetate,standard,0.6,NA,100
